ID	NAME	LONG	LAT
57	Frozen and freeze dried prepared foods	446.227	629.963
138	Other miscellaneous foods	408.4775	653.313
58	Snacks	382.796	676.9035
59	Spices, seasonings, condiments, sauces	357.9535	656.979
135	Butter and margarine	422.7465	612.2615
134	Candy and chewing gum	403.353	606.917
54	Other sweets	403.394	583.2465
49	Canned fruits and vegetables	437.867	590.1395
50	Frozen fruits and vegetables	447.4165	604.2105
51	Other processed fruits and vegetables including dried	419.428	587.242
61	Food at employee sites and schools	214.043	733.681
140	Food from vending machines and mobile vendors	226.4545	545.563
60	Full service meals and snacks	277.354	649.4805
139	Limited service meals and snacks	310.4165	569.103
62	Other food away from home	380.539	588.4185
155	Major appliances	100.4125	172.127
82	Other appliances	84.4825	189.765
75	Fuel oil	189.266	420.7365
76	Propane, kerosene, and firewood	203.5115	437.8965
153	Bedroom furniture	309.57	475.196
154	Living room, kitchen, and dining room furniture	263.5975	476.812
81	Other furniture	335.0325	484.37
77	Electricity	556.125	355.957
78	Utility (piped) gas service	584.777	250.7435
150	Floor coverings	209.58	455.8145
152	Other linens	230.9865	476.6465
151	Window coverings	231.559	448.099
162	Domestic services	565.078	77.56685
163	Gardening and lawncare services	575.855	105.2042
86	Moving, storage, freight expense	578.7785	54.5725
164	Repair of household items	593.156	68.83845
160	Household cleaning products	415.9335	481.34
161	Household paper products	447.383	476.5435
85	Miscellaneous household products	378.2735	482.28
156	Clocks, lamps, and decorator items	121.5803	204.0035
157	Dishes and flatware	94.417	216.108
83	Indoor plants and flowers	119.7605	246.714
158	Nonelectric cookware and tableware	132.1845	233.76
72	Housing at school, excluding board	483.91	444.091
73	Other lodging away from home including hotels and motels	404.39	429.614
74	Owners' equivalent rent of primary residence	369.987	193.16975
71	Rent of primary residence	240.352	349.402
149	Tenants' and household insurance	478.298	393.906
84	Outdoor equipment and supplies	541.48	52.68475
159	Tools, hardware and supplies	511.5275	38.3519
80	Garbage and trash collection	155.16	105.268
79	Water and sewerage maintenance	135.00515	145.172
165	Internal and respiratory over-the-counter drugs	777.0835	436.2035
87	Medical care commodities	746.305	389.5065
88	Nonprescription medical equipment and supplies	686.277	410.5335
90	Dental services	725.041	346.657
91	Eyeglasses and eye care	658.2985	272.758
166	Health insurance	660.2585	388.1665
93	Hospital services	656.2715	332.2705
89	Physicians' services	734.9345	270.9235
92	Services by other medical professionals	770.263	321.2765
70	Miscellaneous personal goods	170.0625	715.4525
144	Cosmetics, perfume, bath, nail preparations and implements	143.381	608.564
143	Hair, dental, shaving, and miscellaneous personal care products	123.81875	654.105
145	Haircuts and other personal care services	94.3431	620.1745
147	Apparel services other than laundry and dry cleaning	136.834	664.916
69	Financial services	152.5695	651.132
68	Funeral expenses	148.6265	688.5385
146	Laundry and dry cleaning services	181.114	681.0515
67	Legal services	183.662	647.7955
141	Cigarettes	177.7405	599.3835
142	Tobacco products other than cigarettes	198.9355	628.8345
104	Admissions	125.08355	481.999
103	Club membership dues and fees for participant sports	177.2905	480.854
105	Fees for lessons or instructions	147.286	447.933
173	Music instruments and accessories	94.5803	482.1035
172	Sewing machines, fabric and supplies	95.44575	457.0855
102	Toys	81.4762	470.218
99	Pet services including veterinary	148.3025	545.3855
98	Pets and pet products	177.5635	538.3455
171	Photographers and film processing	205.7185	540.375
101	Photographic equipment and supplies	210.1445	526.3535
174	Newspapers and magazines	209.76	505.2535
175	Recreational books	202.065	493.491
170	Sports equipment	49.8337	481.0465
100	Sports vehicles including bicycles	34.111	496.11
169	Audio discs, tapes and other media	81.7553	498.929
168	Audio equipment	45.18355	558.473
96	Cable and satellite television and radio service	93.1821	540.24
97	Other video equipment	58.7284	509.3745
95	Televisions	63.67425	581.297
167	Video cassettes, discs, and other media including rental	40.59545	529.213
179	Motor vehicle body work	511.9065	698.0595
178	Vehicle accessories other than tires	515.284	717.269
176	Leased cars and trucks	481.014	487.785
106	New vehicles	674.6555	607.265
180	Motor vehicle maintenance and servicing	503.595	553.26
111	Motor vehicle repair	460.735	550.426
112	Motor vehicle insurance	527.001	635.1015
182	Parking and other fees	568.268	589.9175
181	State and local registration and license	528.7685	571.1405
107	Used cars and trucks	587.7255	711.3945
177	Other motor fuels	533.8115	756.7195
108	Car and truck rental	534.822	547.8995
109	Gasoline (all types)	610.924	481.674
110	Tires	710.5555	481.9585
113	Airline fare	746.3495	485.131
183	Intracity transportation	782.1925	488.721
114	Other intercity transportation	763.086	531.397
94	Nursing home and adult daycare services	682.903	267.7695
148	Care of invalids and elderly at home	130.2425	679.754

