V1	shortName	changeColor	weight	notes
168	Audio equipment	-6.1	0.1	
96	Cable	3.6	1.2	
97	Other video equip.	-11.3	0	
95	TVs	-18.3	0.2	
167	DVDs	2.1	0.2	
179	Body work	2.3	0.1	
178	Car parts except tires	6.6	0.1	
176	Leased vehicles	0.3	0.6	
106	New cars and trucks	-1.1	4.6	
180	Car maintenance	4.2	0.4	
111	Car repair	3.9	0.6	
112	Car insurance	1.3	2	
182	Parking	4.4	0.2	
181	Car licensing fees	1.9	0.3	
107	Used cars and trucks	2.1	1.8	
177	Other motor fuel	40.2	0.3	
108	Rental cars	4.6	0.1	
109	Gasoline	26	5.2	
110	Tires	3.7	0.2	
113	Plane tickets	10.2	0.7	
183	City buses, subways, taxis	3.5	0.2	
114	Other intercity transportation	1.8	0.2	
94	Nursing homes	4.7	0.1	
148	At-home care	5	0.1	
367	Apparel	-1.4	3.7	
428	Health care	4.6	6.2	
419	Transportation	8.2	17.7	
378	Food and beverages	4.4	14.9	
408	Miscellaneous	4.5	3.3	
412	Recreation	2.3	5.6	
376	Education/communication	3.2	6.1	
395	Housing	3	42.4	
